FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Arron Afflalo,Den,SG,24,82,0,114.3,110.5,14,0.106,249,0.434,98,0.735,0.556,0.575,26.9,8.8,3,1.7,5.2,,
Andrea Bargnani,Tor,C,24,80,2,108.4,113.9,22.1,0.088,325,0.372,234,0.774,0.523,0.552,34.8,17.2,6.2,1.2,6.4,,
Andris Biedrins,Gol,C,23,33,49,113.4,107.4,10,0.179,0,0,25,0.16,0.596,0.565,22.3,5,7.6,1.7,6.6,,
Andray Blatche,Was,PF,23,81,1,101.4,107.3,26.2,0.141,44,0.295,234,0.744,0.485,0.519,27.7,14.1,6.3,2.1,7.2,,
Andrew Bogut,Mil,C,24,69,13,107.4,99.4,24.1,0.115,2,0,237,0.629,0.521,0.541,32.1,15.9,10.2,1.8,8.4,,
Aaron Brooks,Hou,PG,25,82,0,107.9,111.8,26.3,0.137,525,0.398,298,0.822,0.511,0.549,35.4,19.6,2.6,5.3,7.9,,
Andrew Bynum,Lal,C,22,65,17,116.8,102,21.2,0.127,1,0,261,0.739,0.571,0.61,30.2,15,8.4,1,6.3,,
Anthony Carter,Den,PG,34,54,28,100.3,107.9,12.7,0.237,63,0.27,13,0.846,0.467,0.482,15.7,3.3,1.6,3,4.2,,
Austin Daye,Det,PF,21,69,13,104.8,110.3,19.5,0.131,95,0.305,56,0.821,0.514,0.546,13.1,5.1,2.5,0.5,2.5,,
Alonzo Gee,Was,SG,22,11,71,111.7,110.7,20.6,0.124,9,0.778,29,0.621,0.543,0.572,16.3,7.4,2.9,0.6,3,,
Aaron Gray,Nor,C,24,24,58,121.3,106.4,15.5,0.195,0,0,21,0.857,0.557,0.612,10.7,3.6,3.8,0.8,3.2,,
Al Harrington,Nyk,PF,29,72,10,106.1,111.9,26.6,0.101,408,0.343,317,0.757,0.503,0.546,30.3,17.7,5.6,1.5,6.3,,
Al Horford,Atl,C,23,81,1,121.2,105,17.9,0.112,1,1,270,0.789,0.552,0.594,34.9,14.2,9.9,2.3,9.3,,
Andre Iguodala,Phi,SG,26,82,0,108.3,109.4,22.1,0.143,304,0.309,430,0.733,0.485,0.535,38.7,17.1,6.5,5.7,11.3,,
Allen Iverson,Phi,SG,34,25,57,102.9,114.8,23.1,0.143,24,0.333,119,0.824,0.431,0.508,31.7,13.9,3,4.1,7.3,,
Antawn Jamison,Cle,PF,33,25,57,105.9,102.2,23.3,0.075,79,0.342,83,0.506,0.525,0.53,32.2,15.8,7.7,1.3,6.9,,
Antawn Jamison,Was,PF,33,41,41,109.6,109.8,24.7,0.071,168,0.345,217,0.7,0.493,0.529,38.7,20.5,8.8,1.3,7.6,,
Al Jefferson,Min,C,25,76,6,105.5,108.8,24.8,0.099,4,0,266,0.68,0.499,0.525,32.2,17.1,9.2,1.8,8.1,,
Amir Johnson,Tor,PF,22,82,0,124.8,110.2,14.4,0.136,4,0,149,0.638,0.623,0.639,17.6,6.2,4.8,0.6,3.7,,
Anthony Johnson,Orl,PG,35,31,51,110.1,105.2,16.8,0.178,39,0.333,20,0.95,0.5,0.543,12.9,4.2,1.5,2,3.4,,
Andrei Kirilenko,Uta,SF,28,58,24,117.3,103.5,18.1,0.119,89,0.292,234,0.744,0.533,0.588,28.8,11.9,4.6,2.7,7.1,,
Acie Law,Chi,PG,24,12,70,107.5,108.7,23.4,0.174,12,0.333,27,0.741,0.511,0.58,11.1,5.5,1.2,1.3,2.6,,
Antonio McDyess,San,PF,35,77,5,102.6,103,15.4,0.148,2,0,57,0.632,0.479,0.492,20.8,5.8,5.9,1.1,5.1,,
Andre Miller,Por,PG,33,82,0,111.5,108.4,24.3,0.138,80,0.2,392,0.821,0.454,0.53,30.3,14,3.2,5.4,8.1,,
Anthony Morrow,Gol,SG,24,69,13,113.5,114.9,17.2,0.1,307,0.456,114,0.886,0.568,0.597,29.1,13,3.8,1.5,5.5,,
Andres Nocioni,Sac,SF,30,75,7,100.9,111.5,21.4,0.099,249,0.386,99,0.717,0.48,0.504,19.5,8.5,3,1,3.9,,
Anthony Parker,Cle,SG,34,81,1,113.5,106.6,12.1,0.122,261,0.414,95,0.789,0.549,0.577,28.1,7.3,2.9,1.9,5.4,,
A.J. Price,Ind,PG,22,56,26,102.3,109.5,22.6,0.132,174,0.345,75,0.8,0.494,0.53,15.3,7.3,1.6,1.9,3.6,,
Anthony Randolph,Gol,PF,20,33,49,106.1,108.2,23.2,0.117,5,0.2,136,0.801,0.445,0.521,22.5,11.6,6.5,1.3,5.8,,
Amare Stoudemire,Pho,PF,27,82,0,117.3,109.3,26.9,0.121,6,0.167,632,0.771,0.557,0.615,34.4,23.1,8.9,1,6.7,,
Al Thornton,Was,SF,26,24,58,101.6,110.7,19.4,0.127,17,0.353,72,0.694,0.477,0.517,27.9,10.7,4.3,1.2,5.2,,
Al Thornton,Lac,SF,26,51,31,105,113.8,19.2,0.114,14,0.357,138,0.746,0.484,0.526,27.3,10.7,3.8,1.2,5,,
Anthony Tolliver,Gol,C,24,44,38,111.8,112.9,16.1,0.083,150,0.333,134,0.769,0.488,0.533,32.1,12.3,7.3,2,7.8,,
Anderson Varejao,Cle,C,27,76,6,123.6,101.7,13.3,0.11,5,0.2,175,0.663,0.573,0.598,28.3,8.6,7.6,1.1,6.2,,
Antoine Wright,Tor,SG,25,67,15,99.8,115.2,16.1,0.118,173,0.335,77,0.688,0.479,0.502,20.6,6.5,2.8,1.1,4,,
Brandon Bass,Orl,PF,24,50,32,112,103.3,21.1,0.106,0,0,63,0.825,0.511,0.556,12.8,5.8,2.6,0.4,2.4,,
Bobby Brown,Nor,SG,25,22,60,93.2,114.3,25.3,0.134,66,0.258,8,1,0.451,0.466,14.7,6.6,0.8,2.1,2.9,,
Bobby Brown,Lac,SG,25,23,59,85.4,113.6,26.8,0.2,32,0.281,7,0.714,0.382,0.397,8.1,3,0.9,1.8,2.4,,
Brian Cardinal,Min,C,32,29,53,118.2,113.1,8.6,0.137,9,0.333,18,0.944,0.431,0.546,9,1.7,1,0.8,1.9,,
Baron Davis,Lac,PG,30,75,7,105.6,109.9,24.6,0.156,296,0.277,291,0.821,0.446,0.501,33.4,15.3,3.6,8,9.9,,
Boris Diaw,Cha,PF,27,82,0,107.4,104.2,16.3,0.174,206,0.32,149,0.765,0.525,0.552,35.2,11.3,5.2,4,9,,
Ben Gordon,Det,SG,26,62,20,106.4,115.3,25.6,0.129,234,0.321,230,0.861,0.47,0.534,27.7,13.8,1.9,2.7,5.2,,
Brendan Haywood,Dal,C,30,28,54,116.4,104.2,14,0.141,1,0,87,0.575,0.564,0.582,26.3,8.1,7.4,0.9,5.6,,
Brendan Haywood,Was,C,30,49,33,117.3,107.4,13.5,0.142,0,0,158,0.646,0.561,0.591,32.7,9.8,10.3,0.4,5.1,,
Brandon Jennings,Mil,PG,20,82,0,100,105.7,27,0.13,388,0.374,273,0.817,0.43,0.475,32.4,15.5,3.4,5.7,8.6,,
Brook Lopez,Njn,C,21,82,0,111.8,110.1,23.8,0.131,2,0,509,0.817,0.499,0.57,36.7,18.8,8.6,2.3,9,,
Brad Miller,Chi,C,33,82,0,105.9,105.9,18.4,0.136,132,0.28,220,0.827,0.462,0.53,23.6,8.8,4.9,1.9,6,,
Brandon Roy,Por,SG,25,65,17,117.7,109.2,27.2,0.095,221,0.33,440,0.78,0.508,0.568,37,21.5,4.4,4.7,9.1,,
Brandon Rush,Ind,SG,23,82,0,99.2,109.1,14.6,0.111,302,0.411,89,0.629,0.511,0.522,30.2,9.4,4.2,1.4,5.6,,
Brian Scalabrine,Bos,PF,31,52,30,89.5,108.1,10.4,0.162,49,0.327,6,0.667,0.435,0.445,8.9,1.5,0.9,0.5,1.6,,
Bobby Simmons,Njn,SF,29,23,59,94.3,110.2,17.1,0.131,63,0.317,20,0.9,0.444,0.485,16.9,5.3,2.7,0.7,3.2,,
Beno Udrih,Sac,PG,27,79,3,114,112.5,18.9,0.131,199,0.377,141,0.837,0.538,0.566,31.1,12.9,2.8,4.7,7.4,,
Bill Walker,Nyk,SG,22,27,55,122.6,113.6,16.6,0.095,116,0.431,47,0.787,0.628,0.651,27.2,11.9,3.1,1.4,4.9,,
Ben Wallace,Det,PF,35,69,13,114.2,106.9,10.4,0.15,2,0,160,0.406,0.541,0.526,28.4,5.5,8.7,1.5,7.2,,
Chris Andersen,Den,C,31,76,6,125.5,102.6,10.9,0.143,3,0,236,0.695,0.566,0.631,21.9,5.9,6.3,0.4,3.8,,
Carmelo Anthony,Den,SF,25,69,13,110,108.4,33.6,0.105,187,0.316,612,0.83,0.478,0.549,37.6,28.2,6.6,3.2,9.3,,
Carlos Arroyo,Mia,PG,30,72,10,114.9,109.2,14,0.115,25,0.28,90,0.844,0.484,0.529,21.8,6.1,1.8,3.1,5,,
Chucky Atkins,Det,PG,35,40,42,102.2,116.1,15.1,0.159,73,0.301,27,0.926,0.433,0.477,15.9,4,0.7,2.3,2.9,,
