FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Arron Afflalo,Den,SG,25,69,33.5,69.6,14.9,0.092,163,0.847,379,0.546,248,0.423,0.62,12.6,3.6,6.3,2.4,11,5.7,0.49,0.45
Alex Ajinca,Tor,C,22,24,10.8,22.1,21.5,0.136,15,0.733,74,0.514,27,0.333,0.53,4.8,2.5,14,0.3,5,5.7,0.33,0.58
Al-Farouq Aminu,Lac,SF,20,81,17.7,36.6,17.5,0.183,119,0.773,263,0.437,143,0.315,0.499,5.6,3.3,10.9,0.7,6.5,5.3,0.73,0.31
Andrea Bargnani,Tor,C,25,66,35.4,73.3,28.3,0.103,350,0.82,949,0.471,223,0.345,0.532,21.4,5.2,8.7,1.8,8.9,6.6,0.52,0.7
Andris Biedrins,Gol,C,24,59,23.5,48.4,10.7,0.169,31,0.323,266,0.534,0,0,0.526,5,7.2,17.4,1,6.1,5.6,0.88,0.88
Andray Blatche,Was,PF,24,64,33.7,69.2,25.6,0.137,283,0.777,939,0.449,18,0.222,0.497,16.8,8.2,13.9,2.3,11.7,8.1,1.53,0.8
Andrew Bogut,Mil,C,25,65,35.1,72.5,19.7,0.13,217,0.442,738,0.497,4,0,0.496,12.8,11.1,18.4,2,10.4,7.5,0.72,2.58
Aaron Brooks,Hou,PG,26,34,23.7,48.1,26.3,0.115,83,0.94,218,0.394,169,0.284,0.465,11.6,1.5,3.6,3.8,25.4,6.8,0.62,0.06
Aaron Brooks,Pho,PG,26,25,18.7,37,25.9,0.164,57,0.807,133,0.481,67,0.328,0.533,9.6,1.1,3.3,4.2,35.7,7.6,0.52,0.04
Andrew Bynum,Lal,C,23,54,27.6,56.8,17.8,0.129,209,0.66,413,0.574,0,0,0.606,11.3,9.4,19.3,1.4,7.8,7.7,0.35,1.96
Anthony Carter,Den,PG,35,14,10.7,22.2,13.3,0.312,2,1,18,0.333,12,0.333,0.421,1.9,0.9,4.6,1.9,23.6,5.5,0.64,0.07
Anthony Carter,Nyk,PG,35,19,16.2,33,15,0.241,6,1,48,0.563,28,0.286,0.534,4.4,2.1,7.2,2.3,21.1,6.8,0.95,0.26
Austin Daye,Det,PF,22,72,19.9,41,18.8,0.102,108,0.759,300,0.413,172,0.401,0.517,7.5,3.8,11.7,1.1,8.6,6.3,0.54,0.54
Alanzo Gee,Cle,SG,23,40,24.2,50,14.6,0.141,80,0.8,184,0.495,49,0.347,0.554,7.4,3.9,9.3,0.8,5.5,4.7,0.83,0.4
Alanzo Gee,Was,SG,23,11,11.3,21.6,14.3,0.199,12,0.667,25,0.48,2,0,0.496,2.9,2,10.1,0.5,6,5,0.64,0
Aaron Gray,Nor,C,25,41,12.5,25.7,13.5,0.219,34,0.5,99,0.566,0,0,0.566,3.1,4.2,20.2,0.4,4.9,5.5,0.27,0.29
Al Harrington,Den,PF,30,73,22.6,47,22.5,0.127,117,0.735,347,0.473,328,0.357,0.527,10.5,4.5,11.6,1.4,9.7,7.2,0.53,0.14
Al Horford,Atl,C,24,77,34.9,72.6,19.8,0.106,188,0.798,917,0.557,4,0.5,0.587,15.3,9.3,16.1,3.4,17.5,9,0.75,1.04
Andre Iguodala,Phi,SG,27,67,36.6,75.2,19.3,0.134,300,0.693,578,0.479,181,0.337,0.53,14.1,5.8,9.1,6.3,26.6,8.8,1.51,0.57
Antawn Jamison,Cle,PF,34,56,32.7,67.8,26.1,0.073,234,0.731,613,0.462,263,0.346,0.516,18,6.7,11.8,1.7,9.6,7.2,0.91,0.54
Al Jefferson,Uta,C,26,82,35.5,73.2,24.4,0.068,289,0.761,1319,0.496,0,0,0.528,18.6,9.7,16.5,1.8,9.4,7.7,0.56,1.87
Amir Johnson,Tor,PF,23,72,25.5,52.9,15.5,0.109,160,0.788,494,0.569,1,0,0.608,9.6,6.4,14.8,1.1,6.9,6.4,0.74,1.22
Andrei Kirilenko,Uta,SF,29,64,31.1,63.9,17.9,0.15,270,0.77,444,0.489,98,0.367,0.567,11.7,5.1,9.9,3,15,7.2,1.27,1.19
Acie Law,Gol,PG,25,40,15.6,32.1,15.8,0.147,54,0.759,137,0.526,30,0.2,0.532,5.1,1.3,4.7,1.8,16.1,5.9,0.7,0
Antonio McDyess,San,PF,36,73,18.8,38.9,15.1,0.162,77,0.675,343,0.493,1,0,0.516,5.3,5.4,16.8,1.2,9.1,6.9,0.49,0.53
Andre Miller,Por,PG,34,81,32.5,67.3,20.8,0.168,292,0.853,807,0.476,37,0.108,0.529,12.7,3.7,7,7,36,8.5,1.4,0.14
Anthony Morrow,Njn,SG,25,58,31.8,64.8,18.1,0.075,107,0.897,360,0.469,260,0.423,0.573,13.2,3,5.5,1.2,6.4,4.6,0.31,0.12
Andres Nocioni,Phi,SF,31,54,17,34.8,17.6,0.134,61,0.803,159,0.478,118,0.356,0.538,6.1,3.1,10.6,0.8,7.5,5.8,0.26,0.28
Anthony Parker,Cle,SG,35,72,28.9,59.9,14.7,0.119,93,0.774,325,0.412,227,0.379,0.504,8.3,3,6,3,16.8,5.8,0.93,0.14
A.J. Price,Ind,PG,24,50,15.7,32.4,23,0.13,81,0.667,171,0.427,149,0.275,0.454,6.5,1.4,5.1,2.2,23,6.9,0.58,0.02
Anthony Randolph,Min,PF,21,23,19.9,40.7,27.4,0.146,74,0.703,219,0.498,0,0,0.537,11.7,5.2,14.5,1.2,10.9,8.4,0.78,0.7
Amare Stoudemire,Nyk,PF,28,78,36.6,75.8,31.1,0.125,597,0.792,1459,0.503,24,0.417,0.565,25.3,8.2,12.7,2.6,13.3,8.9,0.91,1.91
Al Thornton,Gol,SF,27,22,14.1,28.6,19.8,0.143,35,0.829,103,0.495,1,0,0.549,6,2.6,10.4,0.5,5.4,5.6,0.32,0.14
Al Thornton,Was,SF,27,49,21.6,44.1,17.4,0.105,107,0.757,302,0.497,25,0.16,0.525,8,3.2,8.4,1,7.8,5.5,0.57,0.18
Anthony Tolliver,Min,C,25,65,20.8,43,13.2,0.117,131,0.802,198,0.475,115,0.409,0.585,6.7,4.5,12.1,1.2,8.9,6.4,0.45,0.43
Anderson Varejao,Cle,C,28,31,31.9,65.8,13.4,0.137,81,0.667,214,0.533,2,0,0.56,9.1,9.7,17.5,1.5,7.4,6.4,0.87,1.23
Brandon Bass,Orl,PF,25,76,25.9,53.4,19.9,0.115,233,0.815,643,0.516,2,0,0.571,11.2,5.6,12.6,0.8,5,5.7,0.36,0.68
Brian Cardinal,Dal,C,33,56,10.9,22.6,9.7,0.135,18,0.944,13,0.077,88,0.477,0.666,2.6,1.1,5.7,0.7,9.3,4.6,0.43,0.13
Brian Cook,Lac,PF,29,40,11,22.5,20.9,0.122,24,0.625,91,0.418,79,0.43,0.534,4.8,2.4,12.8,0.4,5.7,6.1,0.3,0.28
Baron Davis,Cle,PG,31,15,25.2,51.4,27.5,0.17,27,0.815,91,0.429,87,0.414,0.548,13.9,2.4,5.5,6.1,45.8,9.3,1.07,0.4
