FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
A.J. Price,Cle,PG,28,11,7.9,16.4,21,0.076,6,0.667,23,0.391,11,0,0.3,2,1.4,9.9,1.2,22.1,0.27,0,7.6
A.J. Price,Ind,PG,28,10,19.3,40.2,25.4,0.094,18,0.667,50,0.48,39,0.385,0.542,10.5,1.4,4,2.7,25.3,0.4,0,7.1
A.J. Price,Pho,PG,28,5,8.8,18.2,15.3,0.067,0,0,7,0.429,7,0,0.214,1.2,0.6,3.8,1.2,18.8,0,0,4.3
Aaron Brooks,Chi,PG,30,82,23,47.9,25.4,0.149,174,0.833,504,0.442,313,0.387,0.534,11.6,2,4.8,3.2,24.2,0.66,0.18,7.3
Aaron Gordon,Orl,PF,19,47,17,35.3,15.8,0.139,61,0.721,160,0.5,48,0.271,0.517,5.2,3.6,12,0.7,6.3,0.45,0.47,5.5
Adreian Payne,Atl,PF,23,3,6.4,13.3,19,0,2,0.5,6,0.333,1,0,0.317,1.7,1.3,11.9,0,0,0.33,0,0
Adreian Payne,Min,PF,23,29,24.8,51.8,17.1,0.159,44,0.659,205,0.429,8,0.125,0.448,7.2,5.4,12.5,1,6.6,0.62,0.31,5.5
Al Horford,Atl,C,28,76,30.5,63.5,22.6,0.089,141,0.759,929,0.547,36,0.306,0.563,15.2,7.2,13.4,3.2,18.6,0.89,1.28,9.2
Al Jefferson,Cha,C,30,65,30.6,63.8,26.7,0.059,165,0.655,1005,0.482,5,0.4,0.5,16.6,8.4,15.2,1.7,11.6,0.72,1.29,8.1
Alan Anderson,Bro,SG,32,74,23.6,49.1,14.4,0.11,101,0.812,229,0.528,210,0.348,0.562,7.3,2.8,6.6,1.1,7.3,0.76,0.07,4.8
Alec Burks,Uta,SG,23,27,33.3,69.4,21.2,0.127,129,0.822,232,0.409,68,0.382,0.524,13.9,4.2,7.3,3,15.2,0.63,0.19,6.7
Alex Len,Pho,C,21,69,22,45.8,13.9,0.157,104,0.702,350,0.509,3,0.333,0.542,6.3,6.6,16.4,0.5,3.1,0.49,1.52,5
Alexey Shved,Hou,SG,26,9,6.6,13.7,25.2,0.148,11,0.818,12,0.333,12,0.333,0.503,3.2,0.4,3.7,0.3,8.1,0.11,0,4.4
Alexey Shved,Phi,SG,26,17,16.8,34.9,26.9,0.104,57,0.842,73,0.479,57,0.298,0.545,9.9,1.3,4.2,2.7,31.3,0.82,0.06,7.8
Alexey Shved,Nyk,SG,26,16,26.4,55.1,26.7,0.103,82,0.78,111,0.423,70,0.371,0.544,14.8,4.6,10,3.6,24.3,0.94,0.31,9.5
Alexis Ajinca,Nor,C,26,68,14.1,29.3,21.5,0.156,99,0.818,329,0.55,0,0,0.595,6.5,4.6,18.7,0.7,8.2,0.31,0.75,7.8
Al-Farouq Aminu,Dal,SF,24,74,18.5,38.4,15.4,0.119,118,0.712,233,0.485,124,0.274,0.504,5.6,4.6,13.7,0.8,6.1,0.95,0.84,5.9
Allen Crabbe,Por,SG,22,51,13.4,27.9,11.6,0.086,16,0.75,68,0.485,85,0.353,0.525,3.3,1.4,5.7,0.8,8.1,0.37,0.29,4.6
Alonzo Gee,Den,SF,27,39,13.1,27.3,16.4,0.131,65,0.738,113,0.496,24,0.417,0.574,4.9,1.8,7.4,0.5,5.7,0.72,0.15,5
Alonzo Gee,Por,SF,27,15,10,20.9,18.7,0.128,12,0.5,38,0.474,11,0.273,0.47,3.4,1.6,8.5,0.4,6,0.47,0.07,5.2
Amar’e Stoudemire,Nyk,PF,32,36,24,50,23.2,0.147,127,0.74,308,0.549,3,0,0.589,12,6.8,16.4,1,8.1,0.56,0.94,7.2
Amar’e Stoudemire,Dal,PF,32,23,16.5,34.4,26.3,0.068,59,0.678,178,0.584,1,0,0.605,10.8,3.7,12.1,0.3,3.9,0.39,0.17,5.5
Amir Johnson,Tor,PF,27,75,26.4,55,15.9,0.16,129,0.612,473,0.59,46,0.413,0.603,9.3,6.1,13.3,1.6,9.4,0.59,0.79,6.8
Anderson Varejao,Cle,C,32,26,24.4,50.9,18.4,0.137,45,0.733,198,0.561,2,0,0.58,9.8,6.5,15.3,1.3,9.1,0.73,0.62,7.1
Andre Dawkins,Mia,SG,23,4,5.4,11.3,15.4,0.143,0,0,0,0,6,0.167,0.25,0.8,0.5,5.5,0.3,6.7,0,0,3.7
Andre Drummond,Det,C,21,82,30.5,63.6,22.3,0.097,365,0.389,960,0.515,2,0,0.503,13.8,13.5,24,0.7,3.9,0.89,1.87,6.7
Andre Iguodala,Gol,SG,31,77,26.9,56,13.5,0.139,114,0.596,284,0.553,212,0.349,0.553,7.8,3.3,6.7,2.9,14.6,1.16,0.32,6.3
Andre Miller,Sac,PG,38,30,20.7,43.2,16,0.26,38,0.789,122,0.508,26,0.231,0.522,5.7,2.5,6.9,4.7,34.9,0.6,0.13,7.8
Andre Miller,Was,PG,38,51,12.4,25.8,15,0.224,39,0.718,134,0.567,8,0.125,0.575,3.6,1.5,6.9,2.8,34.1,0.27,0.04,8
Andre Roberson,Okc,SG,23,67,19.2,40,9.1,0.172,48,0.479,116,0.612,85,0.247,0.513,3.4,3.8,10.6,1,7.4,0.79,0.43,4.9
