FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
Aaron Brooks,Chi,PG,31,69,16.1,33.4,23,0.141,64,0.766,285,0.428,185,0.357,0.493,7.1,1.5,4.8,2.6,26,0.43,0.14,7.5,
Aaron Gordon,Orl,PF,20,78,23.9,49.8,17.3,0.09,193,0.668,437,0.531,142,0.296,0.541,9.2,6.5,15.1,1.6,10.3,0.76,0.71,7.7,
Adreian Payne,Min,PF,24,52,9.3,19.5,17.9,0.186,26,0.654,114,0.386,32,0.281,0.419,2.5,2.2,13.4,0.6,8.9,0.31,0.21,6.4,
Al Horford,Atl,C,29,82,32.1,66.9,20.6,0.088,129,0.798,792,0.557,256,0.344,0.565,15.2,7.3,12.4,3.2,16.8,0.83,1.49,8.8,
Al Jefferson,Cha,C,31,47,23.3,48.6,24.2,0.058,111,0.649,505,0.485,0,0,0.507,12,6.4,15,1.5,11.8,0.64,0.87,8.4,
Alan Anderson,Was,SG,33,13,14.8,30.8,15.4,0.03,15,0.733,22,0.409,37,0.324,0.495,5,2.1,7.9,1.1,10.3,0.31,0.08,6.1,
Alan Williams,Pho,PF,23,10,6.8,14.2,22.6,0.166,14,0.643,24,0.417,0,0,0.481,2.9,3.8,30.3,0.5,11.7,0.4,0.5,10.4,
Alec Burks,Uta,SG,24,31,25.7,53.6,25.9,0.114,141,0.752,255,0.412,79,0.405,0.52,13.3,3.5,8,2,13.9,0.58,0.13,7.1,
Alex Len,Pho,C,22,78,23.3,48.6,20.4,0.166,239,0.728,617,0.426,7,0.143,0.482,9,7.6,17.7,1.2,8.5,0.49,0.79,7.5,
Alex Stepheson,Mem,PF,28,4,15.2,31.6,22.5,0,10,0.4,26,0.308,0,0,0.329,5,6.5,24.5,0.5,5.2,0.25,0.75,6.7,
Alexis Ajinca,Nor,C,27,59,14.6,30.4,20.4,0.136,62,0.839,314,0.478,1,0,0.514,6,4.6,17.3,0.5,5.8,0.32,0.61,6.6,
Al-Farouq Aminu,Por,SF,25,82,28.5,59.5,16.9,0.132,156,0.737,370,0.468,349,0.361,0.533,10.2,6.1,11.5,1.7,8.8,0.88,0.63,6.6,
Allen Crabbe,Por,SG,23,81,26,54.1,16.4,0.081,113,0.867,393,0.506,285,0.393,0.572,10.3,2.7,5.6,1.2,7.2,0.78,0.2,5,
Alonzo Gee,Nor,SF,28,73,22.4,46.6,9.2,0.163,66,0.667,193,0.591,61,0.279,0.571,4.4,3.4,8.3,1,6.2,0.86,0.18,4.4,
Amar’e Stoudemire,Mia,C,33,52,14.7,30.5,17.8,0.158,67,0.746,221,0.566,0,0,0.599,5.8,4.3,16.5,0.5,5.6,0.37,0.79,6.3,
Amir Johnson,Bos,PF,28,79,22.8,47.5,13.6,0.164,121,0.57,383,0.624,43,0.233,0.602,7.3,6.4,14.9,1.7,11.4,0.66,1.05,7.5,
Anderson Varejao,Cle,C,33,31,10,20.8,14.8,0.158,21,0.762,75,0.427,1,0,0.469,2.6,2.9,16.6,0.6,9.3,0.35,0.16,6.6,
Anderson Varejao,Gol,C,33,22,8.4,17.6,15.5,0.09,29,0.552,48,0.438,0,0,0.477,2.6,2.3,14.5,0.7,10.6,0.23,0.23,7.7,
Andre Drummond,Det,C,22,81,32.9,68.6,24.1,0.105,586,0.355,1054,0.522,6,0.333,0.499,16.2,14.8,24.5,0.8,4.4,1.47,1.38,7,
Andre Iguodala,Gol,SG,32,65,26.6,55.5,12.1,0.163,83,0.614,214,0.57,154,0.351,0.565,7,4,8.2,3.4,16.3,1.12,0.29,6.9,
Andre Miller,Min,PG,39,26,10.8,22.5,14.6,0.274,19,0.789,54,0.648,4,0.25,0.663,3.4,0.9,5,2.2,31.8,0.35,0,7,
