,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Precious Achiuwa,Mia,F,21.53,45,12.8,26.7,19.5,14.7,94,0.5,173,0.561,0,0,0.561,0.562,5.4,3.6,15.7,0.5,6.6,0.33,0.51,0.82,6.7,106.4,98.4
Jaylen Adams,Mil,G,24.9,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.8,0,0,0,5.1,,
Steven Adams,Nor,C,27.69,43,28.1,58.6,12,18.8,99,0.455,230,0.639,3,0,0.631,0.613,7.9,8.9,17.6,1.9,8.9,0.91,0.67,1.49,7.3,121.5,109.6
Bam Adebayo,Mia,C-F,23.7,41,33.8,70.3,24,15.1,232,0.836,522,0.569,7,0.286,0.567,0.629,19.4,9.6,15.9,5.3,27.1,0.88,1.17,2.73,11.8,121.5,103.8
LaMarcus Aldridge,San,C-F,35.7,21,25.9,54,22.8,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.1,1.7,10.2,0.38,0.86,0.95,7.3,107.1,108.5
Ty-Shon Alexander,Pho,G,22.7,4,2.4,5.1,18.4,0,0,0,2,0,2,0,0,0,0,0.3,5.8,0.3,11.8,0,0,0,0,,
Nickeil Alexander-Walker,Nor,G,22.57,38,20.1,41.8,22.5,12.2,43,0.767,163,0.497,171,0.345,0.507,0.527,9.8,3,8.4,2,14,0.95,0.45,1.29,7.7,102.6,107.2
Grayson Allen,Mem,G,25.48,32,24.2,50.5,16.1,10.1,51,0.902,84,0.44,160,0.406,0.551,0.591,9.8,3.3,7.2,2.1,11.5,1.03,0.16,0.94,6.7,115.9,108.6
Jarrett Allen,Bro,C,22.94,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.9,1.7,8.3,0.58,1.58,1.83,8.8,134.6,106.8
Jarrett Allen,Cle,C,22.94,32,29.4,61.3,17.3,11.4,155,0.684,253,0.632,12,0.417,0.632,0.662,13.8,9.8,18.4,1.7,9.2,0.38,1.75,1.34,8.3,128.1,109.8
Al-Farouq Aminu,Orl,F,30.52,17,21.6,44.9,14.3,20.6,17,0.824,58,0.5,31,0.226,0.444,0.482,5.5,5.4,12.9,1.7,11.2,1,0.53,1.47,6.8,93.3,106.5
Al-Farouq Aminu,Chi,F,30.52,1,12.3,25.6,13.5,51.5,2,1,0,0,1,0,0,0.532,2,5,22.5,0,0,0,0,2,0,53.3,93.7
Kyle Anderson,Mem,F-G,27.52,42,27.1,56.5,18.7,11.3,103,0.757,248,0.552,156,0.359,0.547,0.579,12.4,5.6,11,3.4,17.4,1.17,0.67,1.36,9.1,114.8,106.4
Giannis Antetokounmpo,Mil,F,26.31,43,34,70.8,32.7,13.7,424,0.679,630,0.622,165,0.303,0.587,0.622,28.4,11.4,17.6,6.3,30,1.16,1.26,3.63,14.9,119.9,101.4
Kostas Antetokounmpo,Lal,F,23.36,6,4.4,9.1,19.6,51,4,0.5,4,0.5,0,0,0.5,0.521,1,1.7,21.2,0,0,0.33,0.5,1,0,57.3,89.8
Thanasis Antetokounmpo,Mil,F,28.7,34,9.8,20.5,14.9,21.1,24,0.458,65,0.631,18,0.333,0.602,0.593,3.3,2.3,12.1,0.8,10.7,0.35,0.21,0.74,7.4,111.7,100.6
Carmelo Anthony,Por,F,36.83,45,26,54.1,23.3,7.3,119,0.866,326,0.439,206,0.383,0.492,0.536,13.9,3.3,6.8,1.7,10.1,0.82,0.71,1.02,6.6,109.8,112.5
Cole Anthony,Orl,G,20.87,25,26.7,55.6,22.3,14.8,55,0.836,186,0.398,83,0.325,0.426,0.469,11,4.4,8.7,3.8,21.7,0.68,0.44,2.04,8.5,95.1,107.5
OG Anunoby,Tor,F,23.7,29,33.5,69.7,17.7,13.1,69,0.754,151,0.57,165,0.406,0.59,0.614,14.7,5.9,9.7,1.8,8.2,1.66,0.79,1.79,6.4,112.7,107.5
Ryan Arcidiacono,Chi,G,27.01,28,11.2,23.3,13.2,7.3,16,0.75,33,0.485,49,0.327,0.488,0.517,3.3,1.6,7.8,1.3,15.2,0.25,0,0.25,6.8,114,105.7
Trevor Ariza,Mia,F,35.75,6,22.8,47.5,16.1,6.1,7,0.857,20,0.4,23,0.217,0.36,0.401,6.2,4.7,11.4,1.7,10.5,0.67,0.83,0.5,6.4,91.4,106.5
D.J. Augustin,Mil,G,33.38,37,19.3,40.1,14.3,14,40,0.9,63,0.349,129,0.38,0.497,0.542,6.1,1.4,3.7,3,18.8,0.54,0.03,0.92,6.1,114.8,111.7
D.J. Augustin,Hou,G,33.38,6,21.1,43.9,20.4,18.2,12,1,21,0.619,23,0.348,0.568,0.629,10.3,2.3,5.9,4.3,32.3,0.67,0,1.83,8.9,119.5,112.1
Deni Avdija,Was,F,20.24,41,22.1,46,12.1,10.7,26,0.654,101,0.564,122,0.336,0.531,0.542,6.2,4.5,10.9,1.2,7.1,0.59,0.22,0.68,5.8,104.3,104
Deandre Ayton,Pho,C,22.69,45,30.6,63.7,19.2,12.3,116,0.767,452,0.624,17,0.235,0.614,0.639,14.8,11,20,1.5,7.3,0.36,1.11,1.62,8.2,123.8,99.7
Udoka Azubuike,Uta,C-F,21.53,12,4.1,8.5,11.1,23.7,6,0.667,7,0.571,0,0,0.571,0.622,1,1.1,14,0,0,0.08,0.33,0.25,0,107.8,93.6
Dwayne Bacon,Orl,G-F,25.58,46,25.3,52.7,19,6.3,97,0.845,295,0.434,141,0.333,0.455,0.5,10.4,3,6.1,1.2,7.4,0.52,0.07,0.7,5.3,101.7,110
Marvin Bagley III,Sac,F,22.04,37,25.7,53.6,23.1,9.6,109,0.56,320,0.547,96,0.354,0.543,0.553,13.9,7.4,16,0.9,5.4,0.49,0.51,1.32,7,109.3,110.6
LaMelo Ball,Cha,G,19.6,41,28.6,59.7,25.3,16.5,123,0.789,310,0.503,216,0.375,0.528,0.562,15.9,5.9,11.1,6.1,33.6,1.59,0.34,2.8,11.6,111.1,103.6
Lonzo Ball,Nor,G,23.42,38,31.7,66.1,19.7,13.7,43,0.767,165,0.497,296,0.385,0.549,0.562,14.2,4.2,7.3,5.6,24.1,1.32,0.55,2,8.8,113.4,111.4
Mo Bamba,Orl,C,22.88,24,11,22.9,20.8,7.9,18,0.556,68,0.588,41,0.268,0.518,0.526,5.1,4,19.1,0.4,6.2,0.13,0.96,0.42,7.3,107.4,98.8
Desmond Bane,Mem,G,22.76,40,22.4,46.6,16.2,11.6,30,0.833,139,0.518,153,0.458,0.606,0.621,9.5,2.9,6.9,1.3,8.2,0.68,0.15,1,5.9,113.3,106.3
Harrison Barnes,Sac,F,28.83,44,35.9,74.9,17,10.3,190,0.826,298,0.564,182,0.363,0.556,0.613,15.7,6.5,10.1,3.6,13.3,0.7,0.16,1.48,8,122.6,118
RJ Barrett,Nyk,F-G,20.79,47,34.1,70.9,24.1,10.7,193,0.731,534,0.478,165,0.333,0.483,0.52,17.4,6.1,9.6,3.1,15.1,0.72,0.23,2,8.1,104.6,104.4
Will Barton,Den,G,30.23,43,30.9,64.4,18.9,12.5,76,0.737,272,0.474,197,0.376,0.512,0.533,12.5,4.1,7.5,3,13.2,0.88,0.49,1.67,6.9,105.7,112.3
Keita Bates-Diop,San,F,25.18,16,7.4,15.4,13.8,2.7,10,0.7,17,0.353,15,0.333,0.422,0.467,2.1,1.3,8.9,0.4,7.8,0.38,0.06,0.06,5.6,107.3,109.3
Nicolas Batum,Lac,G-F,32.29,45,28.7,59.7,11.7,10,46,0.848,92,0.543,194,0.428,0.61,0.633,8.6,4.8,9.4,2.3,10.5,1.13,0.36,0.76,6.4,128.2,108
Aron Baynes,Tor,C-F,34.31,44,18.3,38.1,16.2,11.9,34,0.735,167,0.521,84,0.238,0.466,0.487,5.9,5.1,15.3,0.9,7.2,0.27,0.41,0.82,6.6,102.4,103.7
Kent Bazemore,Gol,G-F,31.75,45,16.3,34.1,16.5,17.2,44,0.682,110,0.509,107,0.393,0.548,0.567,6,2.9,9.3,1.5,12.9,0.8,0.51,1.09,7.3,101.3,99.9
Darius Bazley,Okc,F-G,20.8,36,30.7,63.9,19.7,12.6,81,0.704,217,0.479,186,0.29,0.459,0.487,11.9,7.5,12.8,1.5,7.4,0.5,0.64,1.75,6.7,91.1,110.6
Bradley Beal,Was,G,27.75,41,35.5,73.9,34.5,11.3,328,0.902,660,0.544,266,0.338,0.533,0.6,31.3,5,7.5,4.8,24.1,1.2,0.37,3.34,10.2,113.9,110.7
Malik Beasley,Min,G,24.34,35,33,68.7,24.4,8.8,74,0.851,271,0.498,308,0.396,0.549,0.571,20,4.5,7.3,2.5,12.5,0.83,0.17,1.69,7.4,108.9,114.9
